,High
0,138.899994
1,143.75
2,147.800003
3,135.0
4,144.0
5,142.699997
6,140.75
7,140.800003
8,141.0
9,138.899994
10,136.199997
11,133.550003
12,131.449997
13,138.75
14,137.399994
15,139.75
16,136.899994
17,134.350006
18,136.800003
19,141.449997
20,137.800003
21,127.949997
22,128.5
23,127.150002
24,129.5
25,135.449997
26,135.199997
27,135.100006
28,138.5
29,151.399994
30,149.350006
31,146.850006
32,143.600006
33,142.899994
34,144.25
35,152.75
36,145.0
37,144.0
38,146.899994
39,140.850006
40,138.0
41,135.399994
42,140.399994
43,139.5
44,144.75
45,143.899994
46,139.5
47,139.199997
48,140.5
49,140.0
50,138.800003
51,139.199997
52,138.449997
53,138.0
54,137.5
55,137.75
56,137.399994
57,137.300003
58,146.149994
59,145.100006
60,140.399994
61,139.899994
62,142.0
63,138.949997
64,137.350006
65,139.25
66,136.5
67,135.0
68,134.300003
69,133.600006
70,132.899994
71,132.399994
72,133.600006
73,138.899994
74,139.149994
75,144.0
76,155.199997
77,163.300003
78,169.0
79,162.25
80,161.850006
81,158.25
82,152.0
83,156.399994
84,161.300003
85,158.449997
86,153.899994
87,158.0
88,157.899994
89,153.800003
90,152.800003
91,146.850006
92,143.800003
93,148.600006
94,148.649994
95,146.399994
96,144.449997
97,144.949997
98,142.0
99,142.850006
100,141.0
101,135.75
102,132.850006
103,139.75
104,140.75
105,134.5
106,133.850006
107,134.0
108,137.699997
109,137.050003
110,138.399994
111,142.449997
112,141.550003
113,137.899994
114,133.149994
115,131.449997
116,130.899994
117,132.5
118,132.899994
119,133.449997
120,134.449997
121,134.5
122,134.600006
123,132.399994
124,130.699997
125,125.150002
126,114.199997
127,100.449997
128,98.0
129,96.449997
130,92.5
131,95.800003
132,99.75
133,98.5
134,97.849998
135,95.5
136,94.650002
137,95.449997
138,95.400002
139,92.75
140,87.0
141,84.650002
142,87.0
143,90.099998
144,88.400002
145,84.800003
146,80.550003
147,85.150002
148,81.5
149,83.400002
150,80.949997
151,82.0
152,83.199997
153,82.900002
154,79.650002
155,80.599998
156,80.650002
157,83.949997
158,82.400002
159,80.699997
160,79.599998
161,80.0
162,82.0
163,83.300003
164,81.900002
165,82.0
166,82.349998
167,81.849998
168,81.0
169,80.5
170,86.0
171,88.699997
172,85.599998
173,87.699997
174,85.150002
175,85.300003
176,85.25
177,85.5
178,85.849998
179,84.300003
180,88.300003
181,84.400002
182,83.900002
183,82.300003
184,81.849998
185,81.800003
186,81.599998
187,80.900002
188,79.599998
189,77.599998
190,74.849998
191,71.900002
192,70.0
193,66.650002
194,62.299999
195,60.400002
196,56.75
197,56.450001
198,53.900002
199,59.200001
200,57.700001
201,56.700001
202,59.599998
203,56.849998
204,58.75
205,60.5
206,67.599998
207,66.900002
208,62.5
209,63.0
210,72.099998
211,77.699997
212,79.800003
213,74.400002
214,74.849998
215,71.199997
216,69.699997
217,68.599998
218,69.699997
219,69.699997
220,68.300003
221,70.75
222,71.900002
223,72.0
224,69.400002
225,68.0
226,67.25
227,68.599998
228,70.0
229,71.849998
230,72.699997
231,65.699997
232,61.450001
233,59.0
234,56.700001
235,55.799999
236,55.900002
237,55.799999
238,55.150002
239,55.299999
240,56.5
241,59.650002
242,61.5
243,59.0
244,56.200001
245,55.099998
246,54.400002
247,54.5
248,54.450001
249,54.0
250,52.5
251,46.650002
252,44.400002
253,46.299999
254,47.200001
255,47.25
256,55.549999
257,56.900002
258,58.650002
259,59.150002
260,56.200001
261,56.549999
262,58.150002
263,63.099998
264,67.449997
265,65.599998
266,69.25
267,68.25
268,62.849998
269,65.25
270,64.199997
271,63.200001
272,62.700001
273,60.549999
274,61.25
275,63.150002
276,63.400002
277,60.799999
278,60.799999
279,60.400002
